iter	Passed	Remaining
0	1	123
1	1	97
2	2	79
3	2	68
4	3	64
5	3	59
6	4	60
7	4	57
8	5	54
9	6	54
10	6	52
11	6	50
12	7	48
13	7	47
14	8	46
15	8	44
16	8	43
17	9	42
18	9	41
19	10	40
20	10	39
21	10	38
22	11	37
23	11	36
24	11	35
25	12	34
26	12	33
27	12	32
28	13	32
29	13	31
30	13	30
31	14	31
32	17	34
33	17	34
34	19	35
35	20	36
36	20	35
37	21	34
38	21	33
39	21	32
40	22	32
41	22	30
42	22	30
43	23	29
44	23	28
45	23	28
46	24	27
47	24	26
48	24	25
49	25	25
50	25	24
51	25	23
52	26	23
53	26	22
54	26	21
55	27	21
56	27	20
57	27	20
58	28	19
59	28	18
60	28	18
61	28	17
62	29	17
63	29	16
64	30	16
65	31	16
66	31	15
67	32	15
68	33	14
69	33	14
70	34	13
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	37	11
77	38	10
78	38	10
79	38	9
80	39	9
81	39	8
82	40	8
83	40	7
84	41	7
85	41	6
86	41	6
87	42	5
88	42	5
89	42	4
90	43	4
91	43	3
92	43	3
93	44	2
94	44	2
95	45	1
96	46	1
97	47	0
98	47	0
99	48	0
