iter	Passed	Remaining
0	50	49959
1	51	25643
2	52	17406
3	53	13410
4	56	11228
5	57	9522
6	58	8325
7	59	7425
8	60	6688
9	61	6098
10	62	5616
11	63	5213
12	64	4871
13	64	4577
14	65	4320
15	69	4291
16	70	4094
17	74	4040
18	75	3884
19	76	3726
20	76	3579
21	77	3444
22	78	3321
23	78	3210
24	79	3106
25	80	3009
26	81	2919
27	81	2836
28	82	2758
29	83	2687
30	86	2695
31	87	2649
32	88	2604
33	89	2546
34	90	2485
35	90	2425
36	91	2370
37	91	2317
38	91	2265
39	92	2217
40	92	2171
41	93	2129
42	93	2087
43	94	2047
44	94	2009
45	95	1973
46	95	1938
47	95	1902
48	96	1868
49	96	1835
50	96	1804
51	97	1773
52	97	1744
53	97	1716
54	98	1690
55	98	1667
56	99	1644
57	100	1632
58	101	1613
59	102	1608
60	103	1589
61	103	1568
62	104	1548
63	104	1528
64	104	1508
65	105	1489
66	105	1470
67	105	1452
68	106	1434
69	106	1417
70	107	1401
71	107	1384
72	107	1371
73	108	1355
74	108	1340
75	109	1325
76	109	1310
77	109	1296
78	110	1282
79	110	1269
80	110	1255
81	111	1243
82	111	1228
83	111	1216
84	111	1204
85	112	1192
86	112	1180
87	112	1169
88	113	1157
89	114	1154
90	114	1144
91	115	1135
92	115	1128
93	116	1125
94	117	1120
95	118	1111
96	118	1102
97	118	1093
98	119	1085
99	119	1076
100	119	1067
101	120	1059
102	120	1050
103	121	1042
104	121	1034
105	121	1026
106	122	1021
107	122	1013
108	123	1005
109	123	998
110	123	990
111	124	983
112	124	976
113	124	968
114	124	961
115	125	954
116	125	947
117	125	940
118	126	934
119	126	927
120	126	921
121	127	914
122	127	907
123	127	901
124	127	895
125	128	889
126	129	888
127	130	886
128	131	886
129	132	884
130	133	886
131	134	882
132	134	878
133	135	873
134	135	869
135	136	864
136	136	862
137	137	859
138	138	856
139	138	853
140	139	849
141	139	844
142	140	841
143	141	838
144	141	833
145	142	831
146	142	826
147	142	821
148	143	817
149	143	812
150	144	811
151	144	807
152	145	803
153	145	801
154	146	797
155	147	797
156	147	793
157	148	790
158	149	788
159	149	785
160	149	780
161	150	777
162	150	773
163	150	769
164	151	767
165	152	764
166	152	760
167	152	757
168	153	753
169	153	749
170	153	745
171	154	742
172	154	738
173	154	735
174	155	731
175	155	728
176	155	724
177	156	720
178	156	717
179	156	714
180	157	710
181	157	707
182	157	704
183	158	700
184	158	697
185	158	694
186	159	693
187	160	692
188	161	694
189	162	692
190	162	690
191	163	687
192	164	685
193	164	683
194	164	680
195	165	677
196	165	674
197	166	673
198	166	670
199	166	667
200	167	665
201	167	662
202	167	659
203	168	656
204	168	654
205	169	652
206	169	649
207	169	646
208	170	644
209	170	641
210	170	639
211	171	636
212	171	633
213	171	631
214	172	628
215	172	626
216	172	623
217	173	621
218	173	618
219	173	615
220	174	613
221	174	611
222	174	609
223	175	607
224	175	605
225	176	605
226	177	603
227	177	601
228	178	599
229	178	597
230	179	595
231	179	593
232	179	592
233	180	590
234	180	588
235	181	586
236	181	584
237	181	582
238	182	580
239	182	577
240	182	575
241	183	573
242	183	571
243	183	569
244	184	567
245	184	565
246	184	563
247	185	561
248	185	559
249	185	557
250	186	555
251	186	553
252	186	551
253	187	549
254	187	547
255	187	545
256	188	544
257	188	542
258	189	540
259	189	539
260	190	538
261	190	536
262	190	534
263	191	533
264	192	532
265	192	531
266	192	529
267	193	528
268	193	526
269	194	525
270	194	524
271	195	522
272	195	521
273	196	519
274	196	518
275	196	516
276	197	514
277	197	513
278	197	511
279	198	509
280	198	508
281	199	507
282	199	505
283	199	504
284	200	502
285	200	500
286	200	499
287	201	497
288	201	495
289	201	494
290	202	492
291	202	491
292	202	489
293	203	487
294	203	486
295	203	484
296	204	483
297	204	481
298	204	480
299	205	479
300	205	477
301	206	476
302	207	476
303	207	475
304	208	474
305	208	472
306	209	471
307	209	470
308	209	469
309	210	468
310	210	466
311	211	465
312	211	464
313	211	462
314	212	461
315	212	459
316	212	458
317	213	457
318	213	456
319	214	455
320	214	453
321	214	452
322	215	451
323	215	449
324	215	448
325	216	447
326	216	445
327	216	444
328	217	443
329	217	441
330	217	440
331	218	438
332	218	437
333	218	436
334	219	434
335	219	433
336	219	432
337	220	432
338	221	431
339	221	430
340	222	430
341	222	428
342	223	427
343	223	427
344	224	426
345	224	425
346	225	424
347	225	423
348	226	422
349	227	421
350	227	420
351	227	419
352	228	418
353	228	417
354	229	416
355	229	415
356	230	414
357	230	413
358	230	411
359	231	410
360	231	409
361	231	408
362	232	407
363	232	406
364	232	405
365	233	403
366	233	402
367	233	401
368	234	400
369	234	399
370	234	398
371	236	399
372	237	399
373	237	398
374	238	398
375	239	397
376	239	396
377	240	395
378	240	394
379	241	393
380	241	392
381	242	391
382	242	390
383	243	390
384	243	388
385	243	387
386	244	386
387	244	385
388	244	384
389	245	383
390	245	382
391	245	381
392	246	380
393	246	379
394	246	378
395	247	376
396	247	375
397	247	374
398	248	373
399	248	372
400	248	371
401	249	370
402	249	369
403	249	368
404	249	367
405	250	366
406	250	365
407	251	364
408	251	363
409	254	366
410	254	365
411	255	364
412	255	363
413	256	362
414	256	361
415	256	360
416	257	359
417	257	359
418	258	358
419	258	357
420	258	356
421	259	355
422	259	354
423	259	353
424	260	352
425	260	351
426	260	350
427	261	349
428	261	348
429	261	347
430	262	346
431	262	345
432	262	344
433	263	343
434	263	342
435	263	341
436	264	340
437	264	339
438	264	338
439	264	337
440	265	336
441	265	335
442	265	334
443	266	333
444	268	334
445	268	333
446	268	332
447	269	332
448	270	331
449	270	330
450	270	329
451	271	329
452	271	328
453	272	327
454	272	326
455	273	325
456	273	324
457	273	323
458	274	323
459	274	322
460	274	321
461	275	320
462	275	319
463	275	318
464	276	317
465	276	316
466	276	315
467	276	314
468	277	313
469	277	313
470	277	312
471	278	311
472	278	310
473	279	309
474	279	308
475	279	307
476	279	306
477	280	306
478	280	305
479	280	304
480	281	303
481	281	302
482	283	303
483	284	303
484	285	302
485	285	302
486	286	301
487	286	300
488	287	300
489	287	299
490	287	298
491	288	297
492	288	296
493	288	296
494	289	295
495	289	294
496	289	293
497	290	292
498	290	291
499	290	290
500	291	290
501	291	289
502	291	288
503	292	287
504	292	286
505	292	285
506	293	285
507	293	284
508	293	283
509	294	282
510	294	282
511	295	281
512	295	280
513	295	279
514	296	278
515	296	278
516	297	277
517	297	276
518	297	276
519	298	275
520	298	274
521	299	274
522	300	273
